poll_id,dpnum,source_id,id_column,poll_script,status,blocker
uk-eu-1995,1,cdd-uk-eu-survey,caseid,vault/cdd/scripts/uk_eu.R,reviewed-source,"900 source records retained; historical part==1 sample has 238 records, distinct from the 224-person knowledge sample; preserve UKEU-02-05 coding issues"
uk-health-1998,2,cdd-uk-health-survey,serial_m,vault/cdd/scripts/uk_health.R,reviewed-source,Public input contains 230 participants only; earlier 955-person field-file merge remains outside reviewed source coverage
uk-monarchy-1996,3,cdd-uk-monarchy-1996-survey,,vault/cdd/scripts/uk_monarchy.R,reviewed-source,857 source rows; GROUP != -1 selects 258 historical attendees; historical caseid = 1000 + source_row; preserve UKM-01-04
uk-general-election-1997,4,cdd-uk-general-election-1997-survey,serial,vault/cdd/scripts/uk_bge.R,reviewed-source,1210 source rows; filter == 1 selects 275 historical attendees; serial is historical caseid; preserve UKGE-01-04
australia-republic-1999,5,cdd-australia-republic-1999-survey,caseid,vault/cdd/scripts/aus_republic.R,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
uk-crime-1994,6,cdd-uk-crime-survey,caseid,vault/cdd/scripts/uk_crime.R,reviewed-source,869 source rows; part == 1 and nonmissing group select 299 historical attendees; historical caseid = 10000 + source_row; UKC-01 corrected with user approval; preserve UKC-02-03
tomorrows-europe-2007,7,cdd-tomorrows-europe-2007-survey,v_b,vault/cdd/scripts/eu_2007.R,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
cpl-1996,8,cdd-cpl-1996-survey,caseid,vault/cdd/scripts/tx_cpl.R,reviewed-source,"1246 source rows; nonmissing group selects 216 historical attendees; caseid = paste0(29, 10000 + source_row); preserve CPL-01-03"
zeguo-2005,9,cdd-zeguo-2005-survey,p,vault/cdd/scripts/china_2005.r,reviewed-source,All historical respondent fields reconstructed from public response sources; historical coding anomalies preserved for separate correction review.
bulgaria-crime-2002,10,cdd-bulgaria-crime-2002-survey,id,vault/cdd/scripts/bulgaria.r,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
europolis-2009,11,cdd-europolis-2009-survey,UniqueID,vault/cdd/scripts/eu_2009.R,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
new-haven-2004,12,cdd-new-haven-2004-survey,assigned,vault/cdd/scripts/new_haven.R,reviewed-source,All historical respondent fields reconstructed from public response sources; historical coding anomalies preserved for separate correction review.
nic2-2003,13,cdd-nic2-2003-survey,nicid,vault/cdd/scripts/nic2.R,reviewed-source,
btp-national-2003,14,cdd-btp-national-2003-survey,serial,vault/cdd/scripts/us_fp.R,reviewed-source,"All245 historical records, including24 attendance=0; original11item knowledge and nested attitude recodes reconstructed; deferred coding review in docs/poll-issues.md"
btp-general-election-2004,15,cdd-btp-general-election-2004-survey,caseid_original,vault/cdd/scripts/btp04_ge.R,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
btp-presidential-primaries-2004,16,cdd-btp-presidential-primaries-2004-survey,caseid,vault/cdd/merge_data_scripts/04_kyu.R,reviewed-source,All historical respondent fields reconstructed from public response sources; historical coding anomalies preserved for separate correction review.
san-mateo-2008,17,cdd-san-mateo-2008-survey,PARTICIPANTID,vault/cdd/scripts/san_mateo.R,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
btp-health-education-2005,18,cdd-btp-health-education-2005-survey,id,vault/cdd/scripts/btp05.R,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
wtu-1996,19,cdd-wtu-1996-survey,CASEID,vault/cdd/scripts/tx_wtu.R,reviewed-source,1230 source rows; PART == 1 selects 230 historical attendees; CASEID matches; preserve WTU-01-05
nic-1996,20,cdd-nic-1996-survey,CASEID,vault/cdd/scripts/nic1.R,reviewed-source,Historical respondent definitions and sample/ID linkage require poll-specific reconciliation; source rows can be retained without asserting aggregate parity
swepco-1996,21,cdd-swepco-1996-survey,CASEID,vault/cdd/scripts/tx_swp.R,reviewed-source,1478 source rows; PART == 1 selects 232 historical attendees; CASEID matches; preserve SWE-01-04
