finding_id,poll_id,finding_type,evidence,observed,interpretation,implementation_status
uk-crime-post-field,uk-crime-1994,source-column-mismatch,historical-cdd-scripts:legacy/poll_scripts/uk_crime.R line 143; data/uk-crime-1994/codebook.txt TIMCHLD2 and MORECOP1 sections; R/respondent_crime.R; audit/respondent_parity.csv; docs/poll-issues.md UKC-01,Approved UKC-01 uses post TIMCHLD2; 141 historical scores change and one becomes missing; 566 other source records lose baseline-only post scores,Archived code substituted a baseline police item for the post-wave children item; questionnaire and published index support TIMCHLD2,user-approved-correction
historical-script-paths,,citation-path,git ls-tree historical-cdd-scripts,Archived poll scripts are under legacy/poll_scripts rather than scripts,Metadata citations corrected to resolvable historical paths,corrected-metadata-only
uk-election-post-wage,uk-general-election-1997,source-column-mismatch,R/respondent_election.R; docs/poll-issues.md UKGE-03; audit/corrections/uk-general-election-1997/approved_values.csv,Approved UKGE-03 replaces wagel1 with wagel2 in post Labour minimum-wage knowledge; 54 historical post scores change,Codebook wave labels and deposited wgel2cor support the post item,user-approved-correction
nic-age-mode,nic-1996,age-units-and-poll-mode,R/respondent_nic.R; R/polardata_core.R; docs/poll-issues.md NIC-03; audit/corrections/nic-1996/approved_values.csv,Approved age@nic-03-v2 = 96 - BYEAR and mode@nic-03-v2 = 0; meanage@nic-03-v2 rebuilt,Two-digit birth year and in-person event evidence; raw birth-year anomalies remain unresolved,user-approved-correction
cpl-group-gain,cpl-1996,group-size-arithmetic,R/polardata_core.R; docs/poll-issues.md CPL-05; audit/corrections/cpl-1996/approved_values.csv,Approved CPL-05 replaces a 202-row group-size denominator caused by length(data.frame) with full group membership; 132 participant gain values change,Codebook group counts and direct peer calculations agree with the full group size; source answers and group assignments are preserved,user-approved-correction
swepco-post-conservation,swepco-1996,source-column-mismatch,historical-cdd-scripts:legacy/poll_scripts/tx_swp.R lines 92-96; data/swepco-1996/codebook.txt Q2b and Q10b; docs/poll-issues.md SWE-02; audit/corrections/swepco-1996/approved_values.csv,"Approved SWE-02 pairs ADDFAC2 and REDUCE2 at T2; 137 of 232 historical post conservation values change, with no missingness change",Archived post formula referenced nonexistent addfact2; the source codebook and two-component index memorandum support ADDFAC2,user-approved-correction
australia-group-gain-alignment,australia-republic-1999,row-alignment,historical-cdd-scripts:legacy/poll_scripts/aus_republic.R lines 236-245; R/polardata_europe.R; docs/poll-issues.md AUS-04; audit/corrections/australia-republic-1999/approved_values.csv,Approved AUS-04 joins 347 computed group-gain numerators by source_row; 342 finite paired gain values and one missingness status change,Archived ifelse recycled the participant numerator vector over the full 4659-row source; gain formula and 11-item denominator are retained,user-approved-correction
zeguo-road-indices,zeguo-2005,scale-and-wave-recode,R/respondent_zeguo.R; data/zeguo-2005/source-materials/questionnaire.pdf; docs/poll-issues.md ZG-02; audit/corrections/zeguo-2005/approved_values.csv,Approved ZG-02 scales one baseline 4.5 rating and uses actual post-wave main-road ratings; six fields change,The instrument specifies a 0-10 scale and post-wave project ratings are present,user-approved-correction
san-mateo-baseline-denominator,san-mateo-2008,denominator-mismatch,R/polardata_btp_reviewed.R; data/san-mateo-2008/questionnaire-pre.pdf Q19-Q26; data/san-mateo-2008/reports/san-mateo-results.pdf; docs/poll-issues.md SM-03; audit/corrections/san-mateo-2008/approved_values.csv,Approved SM-03 divides eight baseline correct items by eight rather than nine; poll-level t1knowlevel changes from 0.1248308 to 0.1404347 on 239 export rows,The instrument and report describe eight questions although report percentages use the historical nine denominator,user-approved-correction
btp-national-support-scale,btp-national-2003,index-scale,vault/cdd/data/us_fp_online/scripts/v_online.do and v_online2.do; data/btp-national-2003/questionnaires/btp-national-questionnaire.pdf Q20-Q22; data/shared/papers/foreign-policy.pdf printed pp. 11-14; docs/poll-issues.md BTPN-02; audit/corrections/btp-national-2003/approved_values.csv,Approved BTPN-02 scales Q20 Q21 Q22 support/equal/opposition as 1/0.5/0 instead of 0.5/0.25/0; eight export fields change and all 245 cases and missingness remain,Archived recodes and the empirical manuscript specify 0-1 item scoring; the deposited index composition is preserved,user-approved-correction
primaries-peer-gain-group-total,btp-presidential-primaries-2004,group-sum-arithmetic,vault/cdd/data/BTP/2004OnlinePrimaries/btp04primaries.txt lines 142-166; vault/cdd/data/nuri/reagg.txt group-total blocks; data/btp-presidential-primaries-2004/source-materials/baseline-questionnaire.pdf Q43-Q49; docs/poll-issues.md PR-02; audit/corrections/btp-presidential-primaries-2004/approved_values.csv,Approved PR-02 replaces order-dependent cumulative peer counts with whole-group counts; grpgain grpgainr and loggain change for 188 of 217 unique people and both copies in the 434-row export,The archived gen sum() computes a running count; peer exposure requires the full group and other poll blocks use egen group totals,user-approved-correction
