source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
@_merge,double,numeric,,,F8.0,,,TRUE,Retained
age,double,haven_labelled|vctrs_vctr|double,,Age,F8.0,,,TRUE,Retained
age_ful0,double,numeric,,,F8.0,,,TRUE,Retained
age_full,double,numeric,,,F8.0,,,TRUE,Retained
agep,double,haven_labelled|vctrs_vctr|double,,age,F8.0,,,TRUE,Retained
bulgaria,double,numeric,,,F9.2,,,TRUE,Retained
card_id,double,numeric,,,F8.0,,,TRUE,Retained
card_idp,double,numeric,,,F8.0,,,TRUE,Retained
ch_age1,double,numeric,,If there are children 18 or under please record their age?The age of the first c,F8.0,,,TRUE,Retained
ch_age2,double,numeric,,If there are children 18 or under please record their age?The age of the second,F8.0,,,TRUE,Retained
ch_age3,double,numeric,,If there are children 18 or under please record their age?The age of the third c,F8.0,,,TRUE,Retained
ch_age4,double,numeric,,If there are children 18 or under please record their age?The age of the fourth,F8.0,,,TRUE,Retained
children,double,haven_labelled|vctrs_vctr|double,,Do you have children aged 18 or younger living in this household?,F8.0,,,TRUE,Retained
edu,double,haven_labelled|vctrs_vctr|double,,Education:,F8.0,,,TRUE,Retained
educolle,double,numeric,,,F9.2,,,TRUE,Retained
edup,double,haven_labelled|vctrs_vctr|double,,education:,F8.0,,,TRUE,Retained
ethnos,double,haven_labelled|vctrs_vctr|double,,Ethnicity,F8.0,,,TRUE,Retained
ethnosp,double,haven_labelled|vctrs_vctr|double,,ethnicity,F8.0,,,TRUE,Retained
gender,double,numeric,,"1=male, 2=female",F9.2,,,TRUE,Retained
group,double,haven_labelled|vctrs_vctr|double,,Occupation,F8.0,,,TRUE,Retained
group0,double,numeric,,,F9.2,,,TRUE,Retained
groupp,double,haven_labelled|vctrs_vctr|double,,occupation,F8.0,,,TRUE,Retained
id,double,numeric,,,F8.0,,,TRUE,Retained
idp,double,numeric,,,F8.0,,,TRUE,Retained
inc150pl,double,numeric,,,F9.2,,,TRUE,Retained
incomes,double,haven_labelled|vctrs_vctr|double,,Approximate monthly income per household member:,F8.0,,,TRUE,Retained
incomesp,double,haven_labelled|vctrs_vctr|double,,approximate monthly income per household member:,F8.0,,,TRUE,Retained
q1,double,haven_labelled|vctrs_vctr|double,,Do you feel more or less safe about yourself in the area that you live in compar,F8.0,,,TRUE,Retained
q3,double,haven_labelled|vctrs_vctr|double,,Are you interested in the issues related to crime?,F8.0,,,TRUE,Retained
q6,double,haven_labelled|vctrs_vctr|double,,In the past two year /since September 2000/ have you are anyone else in your fam,F8.0,,,TRUE,Retained
q7,double,haven_labelled|vctrs_vctr|double,,"If you or a member of family were a victim of crime, did you report it to the po",F8.0,,,TRUE,Retained
q9,double,haven_labelled|vctrs_vctr|double,,In your opinion how does drug trafficking and dealing affect the crime rate in B,F8.0,,,TRUE,Retained
q11,double,haven_labelled|vctrs_vctr|double,,Which of the following two statements would you support? /about young drug users,F8.0,,,TRUE,Retained
q16,double,haven_labelled|vctrs_vctr|double,,Which of the following two positions do you support? about taking the law in peo,F8.0,,,TRUE,Retained
q18,double,haven_labelled|vctrs_vctr|double,,More powers to the police to detain and question suspects will result in improve,F8.0,,,TRUE,Retained
q19,double,haven_labelled|vctrs_vctr|double,,The death penalty is the only punishment for certain types of crime?,F8.0,,,TRUE,Retained
q20,double,haven_labelled|vctrs_vctr|double,,Which of the following is worse? It is worse to convict an innocent man-It is wo,F8.0,,,TRUE,Retained
q21,double,haven_labelled|vctrs_vctr|double,,Which is closest to yours?,F8.0,,,TRUE,Retained
q22,double,haven_labelled|vctrs_vctr|double,,In your opinion:,F8.0,,,TRUE,Retained
q23,double,haven_labelled|vctrs_vctr|double,,Which of the following opinions is closest to yours?,F8.0,,,TRUE,Retained
q28,double,haven_labelled|vctrs_vctr|double,,"In your opinion, the government's overall policy for fighting crime is heading i",F8.0,,,TRUE,Retained
q29,double,haven_labelled|vctrs_vctr|double,,Which party has the clearest positions regarding the measures that are necessary,F8.0,,,TRUE,Retained
q30,double,haven_labelled|vctrs_vctr|double,,How would you rate your political views on a left - right scale?,F8.0,,,TRUE,Retained
q31,double,haven_labelled|vctrs_vctr|double,,Where would you put NMS on this scale?,F8.0,,,TRUE,Retained
q32,double,haven_labelled|vctrs_vctr|double,,Where would you put UDF on this scale?,F8.0,,,TRUE,Retained
q33,double,haven_labelled|vctrs_vctr|double,,Where would you put BSP on this scale?,F8.0,,,TRUE,Retained
q34,double,haven_labelled|vctrs_vctr|double,,Where would you put MRF on this scale?,F8.0,,,TRUE,Retained
q37,double,haven_labelled|vctrs_vctr|double,,To what extent are you interested in politics?,F8.0,,,TRUE,Retained
q10_1,double,haven_labelled|vctrs_vctr|double,,"The so called ""soft"" drugs like cannabis should be legalized and sold at special",F8.0,,,TRUE,Retained
q10_2,double,haven_labelled|vctrs_vctr|double,,Hard drugs like heroin should be legalized and sold at special places,F8.0,,,TRUE,Retained
q10_3,double,haven_labelled|vctrs_vctr|double,,"There should be penalties not only for drug dealing, but also for drug taking",F8.0,,,TRUE,Retained
q10_4,double,haven_labelled|vctrs_vctr|double,,More money to be allocated for breaking the drug trafficking networks,F8.0,,,TRUE,Retained
q10_1p,double,haven_labelled|vctrs_vctr|double,,"the so called ""soft"" drugs like cannabis should be legalized and sold at special",F8.0,,,TRUE,Retained
q10_2p,double,haven_labelled|vctrs_vctr|double,,hard drugs like heroin should be legalized and sold at special places,F8.0,,,TRUE,Retained
