source_column,storage_type,source_class,parquet_type,variable_label,source_format,missing_values,missing_range,public,publication_note
nicid,double,numeric,,src's case id for nic recruitment,%9.0g,,,TRUE,Retained
fp1,double,haven_labelled|vctrs_vctr|double,,america after september 11th,%9.0g,,,TRUE,Retained
fp2a_a,double,haven_labelled|vctrs_vctr|double,,fp goals: protect global environment (pre),%9.0g,,,TRUE,Retained
fp2a_b,double,haven_labelled|vctrs_vctr|double,,fp goals: ensure us energy supply (pre),%9.0g,,,TRUE,Retained
fp2a_c,double,haven_labelled|vctrs_vctr|double,,fp goals: promote democracy (pre),%9.0g,,,TRUE,Retained
fp2b_a,double,haven_labelled|vctrs_vctr|double,,fp goals: prevent spread of weapons (pre),%9.0g,,,TRUE,Retained
fp2b_b,double,haven_labelled|vctrs_vctr|double,,fp goals: aid u.s. business abroad (pre),%9.0g,,,TRUE,Retained
fp2b_c,double,haven_labelled|vctrs_vctr|double,,fp goals: fight terrorism (pre),%9.0g,,,TRUE,Retained
fp2b_d,double,haven_labelled|vctrs_vctr|double,,fp goals: aid to poor countries (pre),%9.0g,,,TRUE,Retained
fp2c_a,double,haven_labelled|vctrs_vctr|double,,fp goals: protect u.s. from attack (pre),%9.0g,,,TRUE,Retained
fp2c_b,double,haven_labelled|vctrs_vctr|double,,fp goals: protect human rights (pre),%9.0g,,,TRUE,Retained
fp2c_c,double,haven_labelled|vctrs_vctr|double,,fp goals: protect weaker nations (pre),%9.0g,,,TRUE,Retained
fp2c_d,double,haven_labelled|vctrs_vctr|double,,fp goals: reduce world poverty (pre),%9.0g,,,TRUE,Retained
fp3a_a,double,haven_labelled|vctrs_vctr|double,,better to stay at home (pre),%9.0g,,,TRUE,Retained
fp3a_b,double,haven_labelled|vctrs_vctr|double,,agree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3a_c,double,haven_labelled|vctrs_vctr|double,,disagree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3a_s,double,haven_labelled|vctrs_vctr|double,,better to stay at home - summary (pre),%9.0g,,,TRUE,Retained
fp3b_a,double,haven_labelled|vctrs_vctr|double,,protect world from weapons (pre),%9.0g,,,TRUE,Retained
fp3b_b,double,haven_labelled|vctrs_vctr|double,,agree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3b_c,double,haven_labelled|vctrs_vctr|double,,disagree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3b_s,double,haven_labelled|vctrs_vctr|double,,protect world from weapons - summary (pre),%9.0g,,,TRUE,Retained
fp3c_a,double,haven_labelled|vctrs_vctr|double,,protects world from terrorists (pre),%9.0g,,,TRUE,Retained
fp3c_b,double,haven_labelled|vctrs_vctr|double,,agree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3c_c,double,haven_labelled|vctrs_vctr|double,,disagree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3c_s,double,haven_labelled|vctrs_vctr|double,,protects world from terrorists - summary (pre),%9.0g,,,TRUE,Retained
fp3d_a,double,haven_labelled|vctrs_vctr|double,,intervene with support (pre),%9.0g,,,TRUE,Retained
fp3d_b,double,haven_labelled|vctrs_vctr|double,,agree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3d_c,double,haven_labelled|vctrs_vctr|double,,disagree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
fp3d_s,double,haven_labelled|vctrs_vctr|double,,intervene with support - summary (pre),%9.0g,,,TRUE,Retained
fp4a_a,double,haven_labelled|vctrs_vctr|double,,iraq: build economy (pre),%9.0g,,,TRUE,Retained
fp4a_b,double,haven_labelled|vctrs_vctr|double,,iraq: gov't friendly to us interests (pre),%9.0g,,,TRUE,Retained
fp4b_a,double,haven_labelled|vctrs_vctr|double,,iraq: gov't democratic (pre),%9.0g,,,TRUE,Retained
fp4b_b,double,haven_labelled|vctrs_vctr|double,,iraq: involve the u.n. (pre),%9.0g,,,TRUE,Retained
wrm1_a,double,haven_labelled|vctrs_vctr|double,,global warming and u.s. quality of life (pre),%9.0g,,,TRUE,Retained
wrm1_b,double,haven_labelled|vctrs_vctr|double,,cause of global warming (pre),%9.0g,,,TRUE,Retained
wrm2a_a,double,haven_labelled|vctrs_vctr|double,,require higher mileage from autos (pre),%9.0g,,,TRUE,Retained
wrm2a_b,double,haven_labelled|vctrs_vctr|double,,support strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm2a_c,double,haven_labelled|vctrs_vctr|double,,oppose strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm2a_s,double,haven_labelled|vctrs_vctr|double,,require higher mileage - summary (pre),%9.0g,,,TRUE,Retained
wrm2b_a,double,haven_labelled|vctrs_vctr|double,,require cleaner electricity production (pre),%9.0g,,,TRUE,Retained
wrm2b_b,double,haven_labelled|vctrs_vctr|double,,support strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm2b_c,double,haven_labelled|vctrs_vctr|double,,oppose strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm2b_s,double,haven_labelled|vctrs_vctr|double,,require cleaner electricity - summary (pre),%9.0g,,,TRUE,Retained
wrm3_a,double,haven_labelled|vctrs_vctr|double,,action on global warming - self (pre),%9.0g,,,TRUE,Retained
wrm3_b,double,haven_labelled|vctrs_vctr|double,,action on global warming - dem. party (pre),%9.0g,,,TRUE,Retained
wrm3_c,double,haven_labelled|vctrs_vctr|double,,action on global warming - rep. party (pre),%9.0g,,,TRUE,Retained
wrm4a_a,double,haven_labelled|vctrs_vctr|double,,solving environmental problems (pre),%9.0g,,,TRUE,Retained
wrm4a_b,double,haven_labelled|vctrs_vctr|double,,agree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm4a_c,double,haven_labelled|vctrs_vctr|double,,disagree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm4a_s,double,haven_labelled|vctrs_vctr|double,,solving environmental problems - summary (pre),%9.0g,,,TRUE,Retained
wrm4b_a,double,haven_labelled|vctrs_vctr|double,,agreement would hurt the u.s. (pre),%9.0g,,,TRUE,Retained
wrm4b_b,double,haven_labelled|vctrs_vctr|double,,agree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm4b_c,double,haven_labelled|vctrs_vctr|double,,disagree strongly or somewhat (pre),%9.0g,,,TRUE,Retained
wrm4b_s,double,haven_labelled|vctrs_vctr|double,,agreement would hurt the u.s. - summary (pre),%9.0g,,,TRUE,Retained
wrm5,double,haven_labelled|vctrs_vctr|double,,bush position on global warming (pre),%9.0g,,,TRUE,Retained
hngr,double,haven_labelled|vctrs_vctr|double,,how serious is problem of world hunger (pre),%9.0g,,,TRUE,Retained
pair1_a,double,haven_labelled|vctrs_vctr|double,,world hunger or problems at home (pre),%9.0g,,,TRUE,Retained
pair1_b,double,haven_labelled|vctrs_vctr|double,,agree with position strongly or somewhat (pre),%9.0g,,,TRUE,Retained
pair2_a,double,haven_labelled|vctrs_vctr|double,,world aids or problems at home (pre),%9.0g,,,TRUE,Retained
pair2_b,double,haven_labelled|vctrs_vctr|double,,agree with position strongly or somewhat (pre),%9.0g,,,TRUE,Retained
pair3_a,double,haven_labelled|vctrs_vctr|double,,world democracy or not our concern (pre),%9.0g,,,TRUE,Retained
pair3_b,double,haven_labelled|vctrs_vctr|double,,agree with position strongly or somewhat (pre),%9.0g,,,TRUE,Retained
pdem1_a,double,haven_labelled|vctrs_vctr|double,,building democratic institutions (pre),%9.0g,,,TRUE,Retained
pdem1_b,double,haven_labelled|vctrs_vctr|double,,increasing trade (pre),%9.0g,,,TRUE,Retained
pdem1_c,double,haven_labelled|vctrs_vctr|double,,penalties for human rights violations (pre),%9.0g,,,TRUE,Retained
pdem2_a,double,haven_labelled|vctrs_vctr|double,,foreign aid (pre),%9.0g,,,TRUE,Retained
pdem2_b,double,haven_labelled|vctrs_vctr|double,,provide troops to help keep the peace (pre),%9.0g,,,TRUE,Retained
pdem2_c,double,haven_labelled|vctrs_vctr|double,,organizations like the peace corps (pre),%9.0g,,,TRUE,Retained
aid1,double,haven_labelled|vctrs_vctr|double,,spending on foreign aid (pre),%9.0g,,,TRUE,Retained
aid2a_a,double,haven_labelled|vctrs_vctr|double,,increase u.s. influence abroad (pre),%9.0g,,,TRUE,Retained
aid2a_b,double,haven_labelled|vctrs_vctr|double,,discourage nuclear weapons development (pre),%9.0g,,,TRUE,Retained
aid2a_c,double,haven_labelled|vctrs_vctr|double,,develop democratic institutions abroad (pre),%9.0g,,,TRUE,Retained
aid2b_a,double,haven_labelled|vctrs_vctr|double,,reduce hunger and disease abroad (pre),%9.0g,,,TRUE,Retained
aid2b_b,double,haven_labelled|vctrs_vctr|double,,develop poor economies abroad (pre),%9.0g,,,TRUE,Retained
aid3,double,haven_labelled|vctrs_vctr|double,,bush position on foreign aid (pre),%9.0g,,,TRUE,Retained
mact1_a,double,haven_labelled|vctrs_vctr|double,,un support - mass killings (pre),%9.0g,,,TRUE,Retained
