poll_id,source_id,original_archive_path,respondents,items,pre_columns,post_columns,demographic_column,linkage_status
australia-republic-1999,cor-sood-australia-republic-1999,replication/data.zip:data/aus.csv,347,10,rpfact1r|qrfact1r|ggfact1r|prfact1r|busfact1r|welfact1r|flagchg1r|anthem1r|wdroyal1r|pargame1r,rpfact2r|qrfact2r|ggfact2r|prfact2r|busfact2r|welfact2r|flagchg2r|anthem2r|wdroyal2r|pargame2r,female,no-respondent-id
btp-2007,cor-sood-btp-2007,replication/data.zip:data/btp07.csv,301,8,t1know1raw|t1know2raw|t1know3raw|t1know4raw|t1know5raw|t1know6raw|t1know7raw|t1know8raw,t3know1raw|t3know2raw|t3know3raw|t3know4raw|t3know5raw|t3know6raw|t3know7raw|t3know8raw,female,no-respondent-id
btp-general-election-2004,cor-sood-btp-general-election-2004,replication/data.zip:data/btp04GE.csv,250,9,t1know1raw|t1know2raw|t1know3raw|t1know4raw|t1know5raw|t1know6raw|t1know7raw|t1know8raw|t1know9raw,t3know1raw|t3know2raw|t3know3raw|t3know4raw|t3know5raw|t3know6raw|t3know7raw|t3know8raw|t3know9raw,female,no-respondent-id
btp-health-education-2005,cor-sood-btp-health-education-2005,replication/data.zip:data/btp05.csv,454,6,t1know1raw|t1know2raw|t1know3raw|t1know4raw|t1know5raw|t1know6raw,t3know1raw|t3know2raw|t3know3raw|t3know4raw|t3know5raw|t3know6raw,female,no-respondent-id
btp-online-primaries-2004,cor-sood-btp-online-primaries-2004,replication/data.zip:data/btp04.csv,328,7,t1know1raw|t1know2raw|t1know3raw|t1know4raw|t1know5raw|t1know6raw|t1know7raw,t3know1raw|t3know2raw|t3know3raw|t3know4raw|t3know5raw|t3know6raw|t3know7raw,female,no-respondent-id
bulgaria-crime-2002,cor-sood-bulgaria-crime-2002,replication/data.zip:data/bul.csv,278,7,t1q12_1r|t1q12_2r|t1q12_3r|t1q12_4r|t1q12_5r|t1q12_6r|t1q12_7r,t2q12_1r|t2q12_2r|t2q12_3r|t2q12_4r|t2q12_5r|t2q12_6r|t2q12_7r,female,no-respondent-id
california-whats-next-2011,cor-sood-california-whats-next-2011,replication/data.zip:data/ca.csv,401,5,t1know1raw|t1know2raw|t1know3raw|t1know4raw|t1know5raw,t3know1raw|t3know2raw|t3know3raw|t3know4raw|t3know5raw,female,no-respondent-id
cpl-1996,cor-sood-cpl-1996,replication/data.zip:data/cpl.csv,216,7,knowa1raw|knowb1raw|knowc1raw|knowd1raw|knowe1raw|knowf1raw|knowg1raw,knowa2raw|knowb2raw|knowc2raw|knowd2raw|knowe2raw|knowf2raw|knowg2raw,female,no-respondent-id
denmark-euro-2000,cor-sood-denmark-euro-2000,replication/data.zip:data/dk.csv,363,9,t0pk1raw|t0pk2raw|t0pk3raw|t0pk4raw|t0pk5raw|t0pk6raw|t0ppk7raw|t0ppk9raw|t0ppk11raw,t2pk1raw|t2pk2raw|t2pk3raw|t2pk4raw|t2pk5raw|t2pk6raw|t2ppk7raw|t2ppk9raw|t2ppk11raw,female,no-respondent-id
europolis-2009,cor-sood-europolis-2009,replication/data.zip:data/eu2009.csv,348,6,t1pk1raw|t1pk2raw|t1pk4raw|t1pk5raw|t1pk7raw|t1pk8raw,t3pk1raw|t3pk2raw|t3pk4raw|t3pk5raw|t3pk7raw|t3pk8raw,female,no-respondent-id
michigan-2009,cor-sood-michigan-2009,replication/data.zip:data/mi.csv,310,9,t1q14raw|t1q15raw|t1q16raw|t1q17raw|t1q18raw|t1q4raw|t1q5raw|t1q7raw|t1q8raw,t3q38raw|t3q39raw|t3q40raw|t3q41raw|t3q42raw|t3q10raw|t3q11raw|t3q13raw|t3q14raw,female,no-respondent-id
nic-1996,cor-sood-nic-1996,replication/data.zip:data/nic1.csv,466,8,efact1raw|ffact1raw|ftfact11raw|ftfact21raw|ftfact31raw|ftfact41raw|repfact1raw|demfact1raw,efact2raw|ffact2raw|ftfact12raw|ftfact22raw|ftfact32raw|ftfact42raw|repfact2raw|demfact2raw,female,no-respondent-id
northern-ireland-2007,cor-sood-northern-ireland-2007,replication/data.zip:data/ire.csv,124,7,t1q21raw|t1q22raw|t1q23raw|t1q24raw|t1q25raw|t1q26raw|t1q27raw,t2q11raw|t2q12raw|t2q13raw|t2q14raw|t2q15raw|t2q16raw|t2q17raw,female,no-respondent-id
san-mateo-2008,cor-sood-san-mateo-2008,replication/data.zip:data/sm.csv,239,8,t1q19raw|t1q20raw|t1q21raw|t1q22raw|t1q23raw|t1q24raw|t1q25raw|t1q26raw,t2q19raw|t2q20raw|t2q21raw|t2q22raw|t2q23raw|t2q24raw|t2q25raw|t2q26raw,female,no-respondent-id
swepco-1996,cor-sood-swepco-1996,replication/data.zip:data/swp.csv,232,5,knowa1raw|knowb1raw|knowc1raw|knowd1raw|knowe1raw,knowa2raw|knowb2raw|knowc2raw|knowd2raw|knowe2raw,female,no-respondent-id
tomorrows-europe-2007,cor-sood-tomorrows-europe-2007,replication/data.zip:data/eu2007.csv,335,11,t1q16r|t1q17r|t1q18r|t1q19r|t1q20r|t1q21r|t1q22r|t1q23r|t1q24r|t1q33ar|t1q33br,t3q19r|t3q20r|t3q21r|t3q22r|t3q23r|t3q24r|t3q25r|t3q26r|t3q27r|t3q36ar|t3q36br,female,no-respondent-id
uk-crime-1994,cor-sood-uk-crime-1994,replication/data.zip:data/ukcrime.csv,299,7,lfact11raw|lfact21raw|lfact31raw|lfact41raw|pfact11raw|pfact21raw|pfact31raw,lfact12raw|lfact22raw|lfact32raw|lfact42raw|pfact12raw|pfact22raw|pfact32raw,female,no-respondent-id
uk-eu-1995,cor-sood-uk-eu-1995,replication/data.zip:data/ukeu.csv,224,5,pk11raw|pk21raw|pk31raw|pk41raw|pk51raw,pk12raw|pk22raw|pk32raw|pk42raw|pk52raw,female,no-respondent-id
uk-general-election-1997,cor-sood-uk-general-election-1997,replication/data.zip:data/ukbge.csv,275,15,knowa1raw|knowb1raw|knowc1raw|redstc1raw|taxc1raw|wagec1raw|euc1raw|redstl1raw|taxl1raw|wagel1raw|eul1raw|redstld1raw|taxld1raw|wageld1raw|euld1raw,knowa2raw|knowb2raw|knowc2raw|redstc2raw|taxc2raw|wagec2raw|euc2raw|redstl2raw|taxl2raw|wagel2raw|eul2raw|redstld2raw|taxld2raw|wageld2raw|euld2raw,female,no-respondent-id
uk-health-1998,cor-sood-uk-health-1998,replication/data.zip:data/ukhealth.csv,230,6,sopha1r|sophb1r|sophc1r|sophd1r|sophe1r|sophf1r,sopha2r|sophb2r|sophc2r|sophd2r|sophe2r|sophf2r,female,no-respondent-id
uk-monarchy-1996,cor-sood-uk-monarchy-1996,replication/data.zip:data/ukmon.csv,258,8,knowa1raw|knowb1raw|knowc1raw|knowd1raw|knowe1raw|knowf1raw|knowg1raw|knowh1raw,knowa2raw|knowb2raw|knowc2raw|knowd2raw|knowe2raw|knowf2raw|knowg2raw|knowh2raw,female,no-respondent-id
vermont-energy-2007,cor-sood-vermont-energy-2007,replication/data.zip:data/vt.csv,146,9,t1know1raw|t1know2raw|t1know3raw|t1know4raw|t1know5raw|t1know6raw|t1know7raw|t1know8raw|t1know9raw,t3know1raw|t3know2raw|t3know3raw|t3know4raw|t3know5raw|t3know6raw|t3know7raw|t3know8raw|t3know9raw,female,no-respondent-id
