path,component,column_count,flagged_columns,flagged_labels,scan_status,error
data/BTP/2002/2002onlinefp.dta,data,835,qb13;qf13,qb13. how about requiring higher mileage from automobiles (as a way of reducing;qf13. how about requiring higher mileage from automobiles (as a way of reducing,review_required,NA
data/BTP/2002/2002onlinefp_hlmnew.dta,data,949,qb13;qf13,qb13. how about requiring higher mileage from automobiles (as a way of reducing;qf13. how about requiring higher mileage from automobiles (as a way of reducing,review_required,NA
data/BTP/2003/btp03_caseid.dta,data,63,,,no_name_label_hit,NA
data/BTP/2003/nic2.dta,data,1357,nphon_a;nphon_b;nphon_s;rans;eanyo;ranyo,all phones in home have same number;number of unique phone numbers;number of unique phone numbers - summary;number of times respondent contacted;number contacts before enumeration;number of contacts after enumeration,review_required,NA
data/BTP/2004.GE/2004 online GE_hlm.dta,data,1097,,,no_name_label_hit,NA
data/BTP/2004.GE/2004GE.dta,data,1021,,,no_name_label_hit,NA
data/BTP/2004.GE/2004findat.dta,data,1567,,,no_name_label_hit,NA
data/BTP/2004.GE/btp04_caseid.dta,data,77,,,no_name_label_hit,NA
data/BTP/2004.Online.Primaries/2004 online primaries_hlm.dta,data,1575,,,no_name_label_hit,NA
data/BTP/2004.Online.Primaries/2004 online primaries_small_caseid.dta,data,135,,,no_name_label_hit,NA
data/BTP/2004.Online.Primaries/btp04_caseid.dta,data,77,,,no_name_label_hit,NA
data/BTP/2004GE/data/2004 online GE_hlm.dta,data,1097,,,no_name_label_hit,NA
data/BTP/2004GE/data/2004GE.dta,data,1021,,,no_name_label_hit,NA
data/BTP/2004GE/data/2004findat.dta,data,1567,,,no_name_label_hit,NA
data/BTP/2004GE/data/btp04.rdata,btp04,32,,,no_name_label_hit,NA
data/BTP/2004GE/data/btp04_caseid.dta,data,77,,,no_name_label_hit,NA
data/BTP/2004OnlinePrimaries/data/2004 online primaries_hlm.dta,data,1575,,,no_name_label_hit,NA
data/BTP/2004OnlinePrimaries/data/2004 online primaries_small_caseid.dta,data,135,,,no_name_label_hit,NA
data/BTP/2004OnlinePrimaries/data/btp04_caseid.dta,data,77,,,no_name_label_hit,NA
data/BTP/2005 Health Education/2005alice.dta,data,737,,,no_name_label_hit,NA
data/BTP/2005 Health Education/btp05_caseid.dta,data,69,,,no_name_label_hit,NA
data/BTP/2005 Health Education/btp05_hlm.dta,data,840,,,no_name_label_hit,NA
data/BTP/2005/data/2005alice.dta,data,737,,,no_name_label_hit,NA
data/BTP/2005/data/btp05_caseid.dta,data,69,,,no_name_label_hit,NA
data/BTP/2005/data/btp05_hlm.dta,data,840,,,no_name_label_hit,NA
data/BTP/2007/2007BTP ygpm dataset.dta,data,285,,,no_name_label_hit,NA
"data/BTP/2007/BTP online democracy DP Oct 2007 on 0-1 scales, 1-1-07.sav",data,NA,NA,NA,unreadable,"Failed to parse /private/tmp/dp-data-stage/vault/cdd/data/BTP/2007/BTP online democracy DP Oct 2007 on 0-1 scales, 1-1-07.sav: Invalid file, or file has unsupported features."
"data/BTP/2007/BTP online democracy DP Oct 2007, 10-31-07.sav",data,NA,NA,NA,unreadable,"Failed to parse /private/tmp/dp-data-stage/vault/cdd/data/BTP/2007/BTP online democracy DP Oct 2007, 10-31-07.sav: Invalid file, or file has unsupported features."
"data/BTP/2007/BTP_online_democracy_DP_Oct_2007,_10-31-07.sav",data,243,,,no_name_label_hit,NA
"data/BTP/2007/BTP_online_democracy_DP_Oct_2007_on_0-1_scales,_1-1-07.sav",data,323,,,no_name_label_hit,NA
data/BTP/2007/data/2007BTP ygpm dataset.dta,data,285,,,no_name_label_hit,NA
"data/BTP/2007/data/BTP online democracy DP Oct 2007 on 0-1 scales, 1-1-07.sav",data,NA,NA,NA,unreadable,"Failed to parse /private/tmp/dp-data-stage/vault/cdd/data/BTP/2007/data/BTP online democracy DP Oct 2007 on 0-1 scales, 1-1-07.sav: Invalid file, or file has unsupported features."
"data/BTP/2007/data/BTP online democracy DP Oct 2007, 10-31-07.sav",data,NA,NA,NA,unreadable,"Failed to parse /private/tmp/dp-data-stage/vault/cdd/data/BTP/2007/data/BTP online democracy DP Oct 2007, 10-31-07.sav: Invalid file, or file has unsupported features."
"data/BTP/2007/data/BTP_online_democracy_DP_Oct_2007,_10-31-07.sav",data,243,,,no_name_label_hit,NA
"data/BTP/2007/data/BTP_online_democracy_DP_Oct_2007_on_0-1_scales,_1-1-07.sav",data,323,,,no_name_label_hit,NA
data/BTP/2007/data/final.sav,data,404,,,no_name_label_hit,NA
data/BTP/2007/final.sav,data,404,,,no_name_label_hit,NA
data/BTP/BTP2/dp10_Jan24.sav,data,111,ZIPCODE;NPHN@SUM;QEVAL3,Respondent's zipcode (Pre);Summary of number of hh phone lines (Pre);Rate contact w/other delegates (Post participant),review_required,NA
data/BTP/BTP2/dp10_jan24.dta,data,128,zipcode;nphn_sum;qeval3,respondent's zipcode (pre);summary of number of hh phone lines (pre);rate contact w/other delegates (post participant),review_required,NA
data/BTP/BTP_Cities/10City/Seattle/Delib-poll.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Delib-poll.xls,Sheet2,0,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Delib-poll.xls,Sheet3,0,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Last_minute_questions.xls,#37,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Last_minute_questions.xls,#38,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Last_minute_questions.xls,By the People ,2,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/dp10_Jan24.sav,data,111,ZIPCODE;NPHN@SUM;QEVAL3,Respondent's zipcode (Pre);Summary of number of hh phone lines (Pre);Rate contact w/other delegates (Post participant),review_required,NA
data/BTP/BTP_Cities/10City/Seattle/Raw_Data/dp10_jan24.dta,data,128,zipcode;nphn_sum;qeval3,respondent's zipcode (pre);summary of number of hh phone lines (pre);rate contact w/other delegates (post participant),review_required,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/00_aggregate1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/01_baton_rouge1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/03_green_bay1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/04_minneapolis1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/05_pittsburgh1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/06_sarasota1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/07_seattle1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/08_rochester1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/09_kansas_city1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/10_san_diego1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/Tables/11_kearney1.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/10City/Seattle/template.xls,Dpoll Data,6,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Lincoln/Delibpoll redo.sav,data,NA,NA,NA,unreadable,"ℹ In index: 6.
ℹ With name: brief.
Caused by error:
! Result must be length 1, not 3."
data/BTP/BTP_Cities/17City/Lincoln/final redo.sav,data,NA,NA,NA,unreadable,"ℹ In index: 6.
ℹ With name: brief.
Caused by error:
! Result must be length 1, not 3."
data/BTP/BTP_Cities/17City/Lincoln/final working file0718 for analysis purpose.sav,data,NA,NA,NA,unreadable,"ℹ In index: 6.
ℹ With name: brief.
Caused by error:
! Result must be length 1, not 3."
data/BTP/BTP_Cities/17City/New-haven/Master Data/NH_Data_pre-mid-post.xls,Mid,78,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/New-haven/Master Data/NH_Data_pre-mid-post.xls,Post,143,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/New-haven/Master Data/NH_Data_pre-mid-post.xls,Pre,122,STREET;COMMENTS;PHONE,;;,review_required,NA
data/BTP/BTP_Cities/17City/New-haven/Questionnaire/NH_questionnaire_1.xls,Sheet1,2,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/New-haven/Questionnaire/NH_questionnaire_1.xls,Sheet2,0,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/New-haven/Questionnaire/NH_questionnaire_1.xls,Sheet3,0,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/New-haven/Questionnaire/NH_questionnaire_2.xls,Sheet1,2,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/New-haven/Questionnaire/NH_questionnaire_2.xls,Sheet2,0,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/New-haven/Questionnaire/NH_questionnaire_2.xls,Sheet3,0,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PostPortlandPart.xls,CATI Script,1,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PostPortlandPart.xls,Chart9,2,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PostPortlandPart.xls,Custom Charts,3,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PostPortlandPart.xls,Profile,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PostPortlandPart.xls,Questions,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PostPortlandPart.xls,Source,66,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandAll.xls,CATI Script,1,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandAll.xls,Custom Charts,0,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandAll.xls,Profile,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandAll.xls,Questions,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandAll.xls,Source,63,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandPart.xls,CATI Script,1,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandPart.xls,Custom Charts,3,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandPart.xls,Profile,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandPart.xls,Questions,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/PrePortlandPart.xls,Source,63,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/postportlandpart.por,data,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/preportlandall.por,data,3,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/MasterData/preportlandpart.por,data,4,,,no_name_label_hit,NA
data/BTP/BTP_Cities/17City/Portland/portland_data/portlandpost.sas7bdat,data,68,,,no_name_label_hit,NA
